City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Kokopo,PG,76.86,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
540,Balikpapan,ID,79.18,overcast clouds,-1.2675,116.8289,ibis Balikpapan
541,Aqtobe,KZ,86.09,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
543,Trairi,BR,89.74,broken clouds,-3.2778,-39.2689,janelas do mar
544,Diamantino,BR,89.55,broken clouds,-14.4086,-56.4461,Hotel Delta
545,Kamien Pomorski,PL,78.21,scattered clouds,53.9685,14.7726,Mieszko II
546,Road Town,VG,86.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
547,Garoua,CM,85.08,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
552,Pemangkat,ID,81.86,moderate rain,1.1667,108.9667,Ramah Kost KITA
555,Madingou,CG,93.27,scattered clouds,-4.1536,13.55,HOTEL KIM ELISA
558,Wewak,PG,78.24,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
559,Ushtobe,KZ,80.13,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
561,Virginia Beach,US,81.0,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
562,Middletown,US,79.56,clear sky,39.5151,-84.3983,Center of Hope for Women and Children
564,La Brea,HN,87.31,scattered clouds,15.8,-85.9667,Hotel reynita
572,Sassandra,CI,78.44,overcast clouds,4.95,-6.0833,la terrasse
573,Vila Do Maio,CV,84.99,broken clouds,15.1333,-23.2167,Hotel Marilu
575,Puerto Carreno,CO,76.69,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
576,Boyolangu,ID,75.52,scattered clouds,-8.1181,111.8935,Yos ega cv
577,Jaque,PA,78.49,moderate rain,7.5175,-78.1703,Imbu Bua Lodge
578,Coahuayana,MX,78.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
579,Santo Tomas,PH,82.58,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
583,Maba,CN,79.07,overcast clouds,24.6841,113.5984,Huayi Traders Hotel
585,Alekseyevka,RU,92.88,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
586,Tabou,CI,79.99,overcast clouds,4.423,-7.3528,hotêl doufoulougou
587,Erenhot,CN,84.2,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
588,Krizevci,HR,89.8,clear sky,46.0219,16.5425,Koristan Kod d.o.o.
591,Tevaitoa,PF,77.68,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
594,Jambi,ID,76.62,scattered clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
595,Tezu,IN,78.84,overcast clouds,27.9167,96.1667,Circuit House
596,Boralday,KZ,82.26,scattered clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
599,Goderich,CA,75.04,broken clouds,43.7501,-81.7165,Harmony Inn
610,Brandon,US,89.1,clear sky,27.9378,-82.2859,Brandon Motor Lodge
614,Bhatkal,IN,78.04,overcast clouds,13.9667,74.5667,Nilawar Palace
615,Banswada,IN,81.59,overcast clouds,18.3833,77.8833,Bc Boys Hostel
619,Manokwari,ID,78.67,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
621,Nadym,RU,76.03,scattered clouds,65.5333,72.5167,Apartment on Zvereva
622,Trincomalee,LK,84.74,overcast clouds,8.5711,81.2335,Welcombe Hotel
626,Tecoanapa,MX,76.46,overcast clouds,16.5167,-98.75,Hotel Manglares
628,Ko Samui,TH,84.51,overcast clouds,9.5357,99.9357,Viva Vacation Resort
630,Gizo,SB,81.39,overcast clouds,-8.103,156.8419,Imagination Island
633,Ishigaki,JP,81.59,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
636,Nuevitas,CU,85.44,broken clouds,21.5453,-77.2644,Hotel Caonaba
637,Lazaro Cardenas,MX,78.22,broken clouds,17.9583,-102.2,quinta antigua
638,Banamba,ML,78.44,overcast clouds,13.55,-7.45,Kassela de Banamba
640,Palora,EC,75.31,clear sky,-1.7,-77.9333,Rancho grande
641,Guiren,CN,76.48,light rain,33.6697,118.1889,Suyuan Hotel
642,Huilong,CN,81.99,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
643,Vadnagar,IN,86.47,overcast clouds,23.7833,72.6333,Cyber cafe Mobail shop
645,Auki,SB,76.8,overcast clouds,-8.7676,160.7034,Auki Motel
649,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
650,Islamkot,PK,91.74,scattered clouds,24.6997,70.177,Haji Hotel
651,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
652,Sterling,US,80.47,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
657,Bluffton,US,81.95,scattered clouds,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
661,Sur,OM,94.39,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
662,Bosaso,SO,91.53,clear sky,11.2842,49.1816,Red Sea Hotel
663,Bardiyah,LY,85.23,clear sky,31.7561,25.0865,بورتو بردية
664,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
666,Sao Francisco,BR,76.42,overcast clouds,-15.9486,-44.8644,Hotel Supremo
669,Azovskaya,RU,91.54,overcast clouds,44.7908,38.6264,Bochka
671,San Gabriel,US,75.11,haze,34.0961,-118.1058,Hilton Los Angeles/San Gabriel
672,Shingu,JP,81.91,clear sky,33.7333,135.9833,Shingu UI Hotel
