City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Palm Beach Gardens,US,26.8234,-80.1386,87.98,92,75,1.01,light rain
79,Cabo San Lucas,MX,22.8909,-109.9124,83.52,76,87,7.99,overcast clouds
80,Tehachapi,US,35.1322,-118.449,73.92,20,0,4.32,clear sky
81,Namibe,AO,-15.1961,12.1522,73.76,79,39,11.9,scattered clouds
82,Kolosovka,RU,56.4678,73.611,68.99,85,98,4.34,moderate rain
83,Olafsvik,IS,64.8945,-23.7142,54.07,78,62,1.5,broken clouds
84,Zlobin,HR,45.2924,14.6541,78.1,51,20,6.91,few clouds
85,Bethel,US,41.3712,-73.414,81.1,77,40,5.75,scattered clouds
86,Bambanglipuro,ID,-7.95,110.2833,77.29,87,1,4.54,clear sky
87,Doha,QA,25.2867,51.5333,107.91,51,0,10.36,clear sky
88,Ribeira Grande,PT,38.5167,-28.7,73.8,60,40,11.5,scattered clouds
89,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,34,0,33.38,clear sky
90,Hyvinkaa,FI,60.6333,24.8667,59.88,91,100,11.54,moderate rain
91,Port Alfred,ZA,-33.5906,26.891,64.74,70,30,13.73,scattered clouds
92,Castro,BR,-24.7911,-50.0119,65.3,62,99,8.25,overcast clouds
93,Chokurdakh,RU,70.6333,147.9167,47.21,80,6,8.1,clear sky
94,Yar-Sale,RU,66.8333,70.8333,73.2,59,7,4.81,clear sky
95,Cidreira,BR,-30.1811,-50.2056,66.61,71,17,10.74,few clouds
96,Thompson,CA,55.7435,-97.8558,65.52,52,7,8.88,clear sky
97,Mangrol,IN,21.1167,70.1167,82.42,78,65,9.37,broken clouds
98,Chuy,UY,-33.6971,-53.4616,64.65,68,6,7.47,clear sky
99,Provideniya,RU,64.3833,-173.3,44.1,86,100,3.98,light rain
100,Waren,DE,53.5167,12.6833,78.03,46,61,6.6,broken clouds
101,Tasiilaq,GL,65.6145,-37.6368,46.56,92,99,5.37,light rain
102,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,60,100,10.36,overcast clouds
103,Hermanus,ZA,-34.4187,19.2345,66.9,69,100,5.97,overcast clouds
104,Bandarbeyla,SO,9.4942,50.8122,78.24,74,6,30.51,clear sky
105,Saint-Francois,FR,46.4154,3.9054,69.24,68,75,8.05,broken clouds
106,Hobart,AU,-42.8794,147.3294,40.05,82,40,1.01,scattered clouds
107,Shirokiy,RU,49.758,129.523,63.32,98,44,10.83,scattered clouds
108,Touros,BR,-5.1989,-35.4608,85.1,55,60,23.04,broken clouds
109,Nuuk,GL,64.1835,-51.7216,50.61,57,40,4.61,scattered clouds
110,Narsaq,GL,60.9167,-46.05,52.02,66,100,2.73,overcast clouds
111,Camacha,PT,33.0833,-16.3333,75.52,73,40,13.8,scattered clouds
112,Bambous Virieux,MU,-20.3428,57.7575,71.22,68,25,13.44,scattered clouds
113,Upernavik,GL,72.7868,-56.1549,40.84,94,100,9.64,overcast clouds
114,Belmonte,BR,-15.8631,-38.8828,77.5,52,19,12.12,few clouds
115,Hofn,IS,64.2539,-15.2082,54.12,89,100,10.98,light rain
116,Santa Fe,AR,-31.6333,-60.7,73.02,61,0,3.0,clear sky
117,Asau,RO,46.4333,26.4,83.39,41,44,3.0,scattered clouds
118,Port Augusta,AU,-32.5,137.7667,47.71,76,0,5.68,clear sky
119,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.94,68,21,17.49,few clouds
120,Lagoa,PT,39.05,-27.9833,68.97,69,100,13.78,overcast clouds
121,Caravelas,BR,-17.7125,-39.2481,73.42,69,98,8.25,overcast clouds
122,Mahajanga,MG,-15.7167,46.3167,82.42,51,20,9.22,few clouds
123,Xam Nua,LA,20.4197,104.0439,73.15,83,95,2.93,overcast clouds
124,Mahebourg,MU,-20.4081,57.7,71.26,69,19,13.58,few clouds
125,Yerbogachen,RU,61.2767,108.0108,55.9,60,97,5.68,overcast clouds
126,Ranong,TH,9.9658,98.6348,79.84,86,83,6.87,broken clouds
127,Fairbanks,US,64.8378,-147.7164,60.1,92,90,1.01,light rain
128,Mount Gambier,AU,-37.8333,140.7667,39.11,100,100,0.0,fog
129,Mar Del Plata,AR,-38.0023,-57.5575,55.42,100,90,9.22,fog
130,Qasigiannguit,GL,68.8193,-51.1922,48.45,60,100,8.1,overcast clouds
131,Vacaria,BR,-28.5122,-50.9339,62.42,69,68,12.08,broken clouds
132,Fortuna,US,40.5982,-124.1573,59.09,75,90,0.0,overcast clouds
133,Berdigestyakh,RU,62.0989,126.6992,63.12,52,95,12.24,overcast clouds
134,Popondetta,PG,-8.7537,148.2534,72.39,89,97,3.18,light rain
135,Kabwe,ZM,-14.4469,28.4464,79.79,18,2,10.33,clear sky
136,Iracoubo,GF,5.4802,-53.2011,78.73,83,91,6.49,overcast clouds
137,Rio Gallegos,AR,-51.6226,-69.2181,35.65,60,0,26.46,clear sky
138,Awjilah,LY,29.1081,21.2869,107.8,10,0,16.58,clear sky
